ulasan,label
"sudah dua kali lho kurirnya menggagalkan. Kasih tau lah siapa kurirnya dan nomor WA nya biar cepat tepat pengiriman nya jadi bisa diminimalisir paket paket yang dikembalikan dan tepat sasaran, mana tau pas nggak ada orang di rumah alamat tujuan. Kayak aplikasi sebelah bisa kita tau kurirnya siapa dan WA nya jadi tepat sasaran.Kurir pun seenaknya membatalkan pengiriman",1
"Aplikasi yg sangat membantu saat membutuhkan barang keperluan, tampilan bagus serba mudah & familiar, banyak promo. Jaminan kurir tepat waktu, ongkir gratis pula. Pokok'e Shopee is the best'lah...",5
"Jujur dari banyaknya aplikasi belanja, shopee paling OKE sih. Terlebih dengan kemudahan seperti SPayLater dan SPinjam yang memudahkan para manusia yang suka belanja seperti saya haha (walaupun SPinjam saya gak pernah di ACC). Cuma entah kenapa limit SPayLater saya tidak pernah naik dari awal guna, padahal saya tertib (bayar lebih awal dari tanggal jatuh tempo). Tapi karena sudah pakai berbulan bulan dan limit SPayLater gak naik naik, jadi sekarang saya malas bayar tepat waktu.",4
"System automatis ""cod"" bisa menjebak pembeli karena apps lambat respon. Tau tau sudah masuk belanjaan dipesan... Di Tokopedia tidak seperti itu. 19 05 2024: respon aplikasi lambat banget, bukan karena internetnya. Contohnya: ""ngitung"" nilai belanjaan yang dipilih, lalot banget... Sekali lagi aplikasi Tokopedia unggul.",1
"Shopee performanya menurun sih kalau menurutku, suka nglag, terkadang gambar gak muncul, loading ya masya allah lama. Terus app ya semakin berat, jadi lemot mau CO padahal sinyal OK. Tapi, barang yang dipesan alhamdulillah selalu sesuai waktu dan selama di shopee juga ketemu kurir yang bagus dan baik semua.",4
"Yang paling menjengkelkan dari Shopee itu selalu muncul halaman ""Sedang Downloading, Kami sedang memuat fitur, mohon tunggu sebentar"" saat proses transaksi, seharian juga gitu terus. Padahal aplikasi sudah update terbaru, koneksi wifi kencang, Ram Rom hape lega. Makin lama makin payah!!!",1
"Belanja pake shopipay later, awalnya cicilan 26 ribuan tapi pas udah dibayar, cicilan jadi 35 ribuan, pas dichat, alasannya 26 ribuan itu simulasi, tapi kenapa nilai 35 ribuan itu tidak muncul sebelum saya pencet pin pembayaran. Beda sekali dengan gopay later. Semua jelas sampe titik terakhir bayar. Ngga transparan, menakutkan bertransaksi dengan sopilater. Ngga nyaman. Kayaknya ini saya terakhir transaksi. Ngga berani lagi pake shopipay later.",1
"Aplikasi sangat jelek dan merugikan seklai, mulai dari barang di cencel sepihak dari aplikasi, trus pengirim shopee expres jelek sekali, saya pilih yg reguler pekat saya gak sampe sempe malah di cancel pihak shopee,, pusat bantuan gak membantu sama sekali dan gak kasih solusi yg pasti. Terus nomor hp kadang tertulis sudah di gunakan pas login gak bisa.. saran saya hapus aja applikasi ini..",1
"1. Performa aplikasi pada hp ram 4gb lag, freeze dan kadang error pdhl app sebelah lancar hanya shopee saja yg masalah seperti ini. 2. Jaminan jika pesanan tidak sampai tepat waktu diberi voucher hanya sekedar janji, 3x chat cs diminta ini itu masih tidak dapat penyelesaian dan voucher tidak didapatkan, jika memang hanya marketing lebih baik jgn menjanjikan konsumen dengan hal yg tidak jelas",1
"1. Di mode keranjang saya, mohon supaya dilengkapi dengan mode pencarian produk, sehingga tdk selalu harus scroll satu persatu ke bawah. 2. Perbanyak voucher potongan harga 3. Nilai satu koin 1 rupiah terlalu receh, ganti konversi 1 koin seribu rupiah sprti diwarung hijau.",5
"sdh lama pk market place ini, tp kenapa bbrp hari belakangan selalu buffering kl dibuka riwayat pesanan atau apapun yg melaui data pribadi ya? saya cek tdk ada pembaruan apps, tp lemot bingit, malah sering error, why???",3
"saya pikir, Shopee sudah memperbaiki sistem/cara kerjanya, ternyata belum 2022 saya belanja di shope, kapok karena pengiriman lama, sekarang saya coba lagi belanja di shopee. ternyata tidak ada perubahan, resi gak update, pengiriman lelet. PARAH",1
"Haloooo , shopee tolong di perbaiki jasa pengirimanmu SPX kurirnya pada gak jelas semua kalau belum bisa punya kurir sendiri jangan maksa alamat saya udah benar tidak ada yang berubah selama ini saya pakai alamat ini kenapa malah alamat tidak lengkap , pengiriman telat dari jadwal terus , bagusan dulu yang banyak pilihan opsi expedisi",1
"Aplikasi nggak bisa dibuka, tiap mau masuk tampilan apk shopee hilang timbul dari orange ke hitam Ini gimana mau buka apk coba, nggak bisa masuk, udah 3x instal ulang, tapi permasalahan masih sama. Udah cek semua apk, tapi nggak ada yg bermasalah. Cuman apk shopee yg error Bahkan udah di instal ulang setelah sehari di un instal masih error",2
"kembalikan pilihan ekspedisi/jasa kirim seperti sebelumnya yang pembeli bisa pilih sendiri sesuka hati, karena kami yang lebih tau jasa kirim yang bagus di tempat kami, bukan hanya pilihan reguler atau hemat saja. jangan murah hanya kalau pake paylater aja kalau dihitung-hitung sama saja biaya yg dikeluarkan tidak lebih murah.",1
"Banyak toko fiktif, ada garansi padahal tapi uang gak bisa balik, bisa bisanya saya kena tipu 2x dalam sehari dari toko yang beda, barang harga 300an lapor customer service dibilang uang gak bisa balik, PADAHAL ADA GARANSI!, plis lah shoppe gak ada peningkatan dari dulu, udah 4 tahun gak make karna dikecewain sama pelayanan dulu baru balik make langsung kena tipu.",1
